Tile, Lat, Long, Height, m East, m North
HexE24,-26.701193,116.671824,375.853,100.367,235.616
HexE25,-26.701193,116.671964,375.74,114.335,235.598
HexE26,-26.701193,116.672105,375.559,128.349,235.61
HexE27,-26.701193,116.672245,375.442,142.34,235.586
HexE28,-26.701302,116.671613,375.995,79.374,223.474
HexE29,-26.701302,116.671753,375.867,93.343,223.488
HexE30,-26.701303,116.671894,375.747,107.357,223.462
HexE31,-26.701303,116.672035,375.56,121.372,223.488
HexE32,-26.701303,116.672175,375.466,135.352,223.486
HexE33,-26.701412,116.671683,375.877,86.362,211.341
HexE34,-26.701412,116.671824,375.742,100.364,211.338
HexE35,-26.701412,116.671964,375.593,114.359,211.353
HexE36,-26.701412,116.672105,375.475,128.345,211.358
HexS01,-26.701889,116.670715,376.542,-9.985,158.452
HexS02,-26.70189,116.670855,376.411,4.006,158.456
HexS03,-26.70189,116.670996,376.27,18.022,158.439
HexS04,-26.70189,116.671137,376.158,32.013,158.442
HexS05,-26.701999,116.670644,376.596,-17.013,146.309
HexS06,-26.701999,116.670785,376.428,-2.985,146.316
HexS07,-26.701999,116.670926,376.323,11.022,146.311
HexS08,-26.701999,116.671067,376.16,25.002,146.32
HexS09,-26.701999,116.671207,376.042,39.014,146.304
HexS10,-26.702108,116.670574,376.578,-23.966,134.201
HexS11,-26.702108,116.670715,376.416,-9.983,134.185
HexS12,-26.702108,116.670855,376.314,4.005,134.206
HexS13,-26.702108,116.670996,376.164,17.99,134.182
HexS14,-26.702108,116.671137,376.056,32.009,134.184
HexS15,-26.702108,116.671278,375.935,46.016,134.221
HexS16,-26.702218,116.670504,376.602,-30.991,122.075
HexS17,-26.702218,116.670644,376.457,-16.989,122.07
HexS18,-26.702218,116.670785,376.332,-2.972,122.058
HexS19,-26.702218,116.671067,376.089,25.015,122.055
HexS20,-26.702218,116.671207,375.961,39.014,122.09
HexS21,-26.702218,116.671348,375.822,53.019,122.052
HexS22,-26.702327,116.670574,376.51,-23.994,109.937
HexS23,-26.702327,116.670715,376.345,-9.98,109.944
HexS24,-26.702327,116.670855,376.229,3.996,109.951
HexS25,-26.702327,116.670996,376.088,18.025,109.959
HexS26,-26.702327,116.671137,375.978,32.024,109.944
HexS27,-26.702327,116.671277,375.834,46.022,109.949
HexS28,-26.702437,116.670644,376.369,-16.987,97.81
HexS29,-26.702437,116.670785,376.228,-2.998,97.819
HexS30,-26.702437,116.670926,376.149,11.019,97.833
HexS31,-26.702437,116.671067,375.997,25.004,97.836
HexS32,-26.702437,116.671207,375.917,39.021,97.82
HexS33,-26.702546,116.670715,376.251,-9.987,85.702
HexS34,-26.702546,116.670855,376.169,4.018,85.698
HexS35,-26.702546,116.670996,376.049,18.018,85.716
HexS36,-26.702546,116.671137,375.92,32.013,85.713
